timestamp,pitch_hz,confidence,voiced
4.6960,437.44,0.5645,false
4.7120,437.46,0.7429,false
4.7280,437.40,0.6919,false
4.7440,437.51,0.8187,false
4.7600,437.58,0.9089,true
4.7760,437.61,0.9287,true
4.7920,437.61,0.9477,true
4.8080,437.61,0.9556,true
4.8240,437.59,0.9577,true
4.8400,437.59,0.9493,true
4.8560,437.62,0.9576,true
4.8720,437.60,0.9699,true
4.8880,437.58,0.9731,true
4.9040,437.58,0.9710,true
4.9200,437.58,0.9513,true
4.9360,437.58,0.9518,true
4.9520,437.57,0.9711,true
4.9680,437.57,0.9713,true
4.9840,437.57,0.9668,true
5.0000,437.57,0.9702,true
5.0160,437.58,0.9677,true
5.0320,437.58,0.9666,true
5.0480,437.58,0.9763,true
5.0640,437.58,0.9800,true
5.0800,437.57,0.9798,true
5.0960,437.57,0.9815,true
5.1120,437.59,0.9864,true
5.1280,437.65,0.9938,true
5.1440,437.74,0.9955,true
5.1600,437.77,0.9920,true
5.1760,437.68,0.9752,true
5.1920,437.60,0.9682,true
5.2080,437.57,0.9792,true
5.2240,437.57,0.9819,true
5.2400,437.58,0.9737,true
5.2560,437.61,0.9715,true
5.2720,437.67,0.9711,true
5.2880,437.67,0.9724,true
5.3040,437.60,0.9867,true
5.3200,437.61,0.9930,true
5.3360,437.64,0.9919,true
5.3520,437.64,0.9880,true
5.3680,437.61,0.9877,true
5.3840,437.59,0.9931,true
5.4000,437.59,0.9969,true
5.4160,437.58,0.9987,true
5.4320,437.57,0.9993,true
5.4480,437.57,0.9993,true
5.4640,437.57,0.9988,true
5.4800,437.57,0.9984,true
5.4960,437.57,0.9989,true
5.5120,437.57,0.9996,true
5.5280,437.57,0.9998,true
5.5440,437.57,0.9999,true
5.5600,437.56,0.9999,true
5.5760,437.56,0.9999,true
5.5920,437.56,0.9999,true
5.6080,437.56,0.9999,true
5.6240,437.56,0.9998,true
5.6400,437.56,0.9998,true
5.6560,437.56,0.9997,true
5.6720,437.56,0.9995,true
5.6880,437.56,0.9995,true
5.7040,437.55,0.9995,true
5.7200,437.55,0.9995,true
5.7360,437.55,0.9995,true
5.7520,437.55,0.9996,true
5.7680,437.55,0.9996,true
5.7840,437.56,0.9992,true
5.8000,437.56,0.9983,true
5.8160,437.56,0.9974,true
5.8320,437.56,0.9983,true
5.8480,437.56,0.9989,true
5.8640,437.56,0.9983,true
5.8800,437.57,0.9968,true
5.8960,437.58,0.9939,true
5.9120,437.60,0.9851,true
5.9280,437.61,0.9514,true
5.9440,437.64,0.8817,false
5.9600,437.66,0.7953,false
5.9760,437.54,0.7757,false
5.9920,437.47,0.7921,false
6.0080,437.42,0.7516,false
6.0240,437.12,0.5843,false
6.0400,436.67,0.4643,false
6.0560,436.05,0.3954,false
6.0720,435.81,0.3791,false
6.0880,435.81,0.3678,false
6.1040,435.46,0.3300,false
6.1200,435.07,0.2861,false
6.1360,434.52,0.2493,false
6.1520,434.05,0.2154,false
6.1680,433.60,0.2343,false
6.1840,432.28,0.2235,false
6.2000,431.89,0.2155,false
6.2160,431.94,0.1735,false
6.2320,432.47,0.1578,false
6.2480,432.73,0.1510,false
6.2640,432.04,0.1379,false
6.2800,431.61,0.1285,false
6.2960,813.24,0.1295,false
